channel,First Touch,Last Touch,Linear,Time Decay,Position Based,Average Revenue,Minimum Revenue,Maximum Revenue,Model Range
Paid Search,31603.91,27403.32,28415.892333333333,27935.4082712214,28877.802966666663,28847.266714244277,27403.32,31603.91,4200.59
Email,24330.47,29902.12,26238.17588095238,26583.794838919017,26804.94326666667,26771.900797307615,24330.47,29902.12,5571.649999999998
Organic Search,24863.96,22635.82,24545.92717857143,24342.77770790187,24017.7277,24081.24251729466,22635.82,24863.96,2228.1399999999994
Paid Social,25253.97,22642.17,23604.617380952383,23448.44658874692,24091.139733333333,23808.068740606526,22642.17,25253.97,2611.800000000003
Direct,23095.88,21915.12,21952.890654761904,22173.784230626763,22313.573333333337,22290.2496437444,21915.12,23095.88,1180.760000000002
Organic Social,15599.14,14226.13,15983.874583333332,15814.798690794796,15265.297033333334,15377.848061492292,14226.13,15983.874583333332,1757.7445833333331
Referral,13833.02,16197.14,14512.397976190476,14694.87419360045,14758.077766666667,14799.101987291517,13833.02,16197.14,2364.119999999999
Display,10990.04,14648.57,14316.61401190476,14576.50547818878,13441.8282,13594.711538018708,10990.04,14648.57,3658.529999999999
